,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,tags,counts_rv_eng,all_time_peak,24h_peak
342,255520,Viscera Cleanup Detail: Shadow Warrior,RuneStorm,Devolver Digital,,3052,756,0,"500,000 .. 1,000,000",202,0,31,0,2999,2999,0,7,"['Simulation', 'Gore', 'First-Person', 'Indie', 'Action', 'Blood', 'Comedy', 'Funny', 'Multiplayer', 'Singleplayer', 'Co-op', 'Casual', 'Short', 'FPS', 'Horror', 'Dark Humor']",1884,1148,15
343,222730,Reus,Abbey Games,Abbey Games,,4268,1181,0,"500,000 .. 1,000,000",201,0,102,0,999,999,0,21,"['God Game', 'Strategy', 'Indie', 'Simulation', 'Singleplayer', 'Sandbox', 'Casual', '2D', 'Puzzle', 'Resource Management', 'Replay Value', 'Fantasy', 'Relaxing', 'Addictive', 'Nature', 'Family Friendly', 'Management', 'Great Soundtrack', 'Funny', 'Adventure']",2903,4178,17
344,423710,Invasion: Brain Craving,New Reality Games,New Reality Games,,129,174,0,"500,000 .. 1,000,000",240,0,246,0,199,199,0,1,"['Indie', 'RPG', 'Adventure', 'Strategy', 'Action', 'RPGMaker', 'Casual', 'Simulation', 'Survival Horror', 'Early Access']",135,6276,0
345,485610,Ball 3D: Soccer Online,Unusualsoft,Unusualsoft,,6525,1350,0,"500,000 .. 1,000,000",1019,3,54,3,99,99,0,112,"['Multiplayer', 'Soccer', 'Competitive', 'Sports', 'Racing', 'Team-Based', 'Online Co-Op', 'Football', 'Fast-Paced', 'Co-op', 'eSports', 'Funny', 'Action', 'Simulation', 'PvP', 'Singleplayer', 'Casual', 'Indie', 'Modern', 'Great Soundtrack']",2454,3146,175
346,215930,Jagged Alliance 2 - Wildfire,I-deal Games,Topware Interactive,,1007,315,0,"500,000 .. 1,000,000",403,0,424,0,699,699,0,133,"['Strategy', 'RPG', 'Turn-Based Tactics', 'Turn-Based Strategy', 'Turn-Based', 'Tactical', 'Isometric', 'Singleplayer', 'Tactical RPG', 'Classic', 'Action']",436,5689,106
347,266430,Anarchy Arcade,Elijah Newman-Gomez,Elijah Newman-Gomez,,1533,699,0,"500,000 .. 1,000,000",95,0,17,0,0,0,0,2,"['Free to Play', 'Sandbox', 'Indie', 'Multiplayer', 'Simulation', 'Casual', 'Early Access', 'Arcade', 'VR', 'Funny', 'Adventure', 'Singleplayer', 'Co-op', 'Open World', 'Action', '3D Vision', 'First-Person', 'Building', 'Comedy', 'Survival']",1716,515,4
348,1120810,Eastern Exorcist,Wildfire Game（无锡野火数字科技有限公司）,bilibili,,4989,846,0,"500,000 .. 1,000,000",389,0,473,0,1799,1799,0,24,"['Action', 'RPG', 'Side Scroller', 'Adventure', '2D', 'Souls-like', 'Hack and Slash', 'Action RPG', 'Platformer', 'Strategy', 'Hand-drawn', 'Fantasy', 'Magic', 'Singleplayer', 'Violent', 'Indie', 'Martial Arts', 'Difficult', 'Metroidvania', 'Early Access']",266,2037,25
349,1473480,A.V.A,NEOWIZ,NEOWIZ,,2127,2187,0,"500,000 .. 1,000,000",257,198,67,211,0,0,0,2291,"['FPS', 'PvP', 'Competitive', 'Shooter', 'First-Person', 'Action', 'Military', 'Sniper', 'Massively Multiplayer', 'Multiplayer', 'Singleplayer', 'Free to Play', 'Violent', 'PvE', 'Online Co-Op', 'Co-op', 'Co-op Campaign', 'Strategy', 'Sexual Content', 'Zombies']",979,11883,3109
350,1108320,妄想破绽 Broken Delusion,,bilibili,,2492,1457,0,"500,000 .. 1,000,000",380,0,544,0,699,699,0,3,"['Indie', 'Adventure', 'Visual Novel', 'Anime', 'Dystopian']",12,2990,3
351,412220,DDraceNetwork,DDNet Team,DDNet Team,,8817,551,0,"500,000 .. 1,000,000",0,0,0,0,0,0,0,2323,"['Online Co-Op', '2D Platformer', 'Precision Platformer', 'Free to Play', 'Puzzle Platformer', 'Multiplayer', 'Level Editor', '2D', 'Platformer', 'Team-Based', 'Co-op', 'Moddable', 'Singleplayer', 'Action', 'Puzzle', 'Indie', 'Racing', 'Ninja', 'Character Customization', 'Choices Matter']",1107,3030,2018
352,654990,Dude Simulator,Kiddy,Kiddy,,1100,728,0,"500,000 .. 1,000,000",173,0,239,0,499,499,0,2,"['Simulation', 'Adventure', 'Open World', 'Funny', 'Action', 'Indie', 'Sandbox', 'Shooter', 'Singleplayer', 'Multiplayer', 'First-Person', 'Gore', 'Physics', 'Atmospheric', 'Exploration', 'Fighting', 'Comedy', 'Violent', 'Replay Value', 'Arcade']",709,2571,3
353,905640,Combat Arms: Reloaded,"VALOFE, NEXON",VALOFE,,1449,1148,0,"500,000 .. 1,000,000",70,0,42,0,0,0,0,59,"['Free to Play', 'Action', 'Shooter', 'Massively Multiplayer', 'FPS', 'Multiplayer', 'Strategy', 'Simulation', 'First-Person', 'Zombies', 'Singleplayer', 'Battle Royale', 'Controller', 'Survival']",1298,536,82
354,296470,Mount Your Friends,Stegersaurus Software Inc.,Stegersaurus Software Inc.,,7185,354,0,"500,000 .. 1,000,000",199,0,166,0,499,499,0,19,"['Funny', 'Comedy', 'Multiplayer', 'Sports', 'Indie', 'Physics', 'Local Multiplayer', 'Simulation', 'Competitive', 'Sexual Content', 'Co-op', '2D', 'Local Co-Op', 'Casual', 'Psychological Horror', 'Mature', '4 Player Local', 'Online Co-Op', 'Singleplayer', 'Action']",4275,1124,15
355,72200,Universe Sandbox Legacy,Giant Army,Giant Army,,2367,553,0,"500,000 .. 1,000,000",148,0,88,0,0,0,0,17,"['Simulation', 'Sandbox', 'Space', 'Physics', 'Science', 'Education', 'Indie', 'Casual', 'Singleplayer', 'God Game', 'Sci-fi', 'Free to Play', 'Atmospheric', 'Space Sim', 'Funny', 'Exploration', 'Destruction', 'Epic', 'Action', 'VR']",2229,3209,22
356,252850,Streamline,Proletariat Inc.,Proletariat Inc.,,1448,592,0,"500,000 .. 1,000,000",289,0,187,0,0,0,0,0,"['Early Access', 'Action', 'Indie', 'Sports', 'Parkour', 'Multiplayer']",993,10463,1
